PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
15,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,300000.000,300000.000,300252.240,300252.240,300378.360,300499.480,300504.480,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
16,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,320000.000,320000.000,320000.000,320000.000,320000.000,320121.120,320126.120,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
16,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,320000.000,320000.000,320000.000,320000.000,320126.120,320247.240,320252.240,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
16,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,320000.000,320000.000,320252.240,320252.240,320252.240,320373.360,320378.360,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
16,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,320000.000,320000.000,320252.240,320252.240,320378.360,320499.480,320504.480,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
17,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,340000.000,340000.000,340000.000,340000.000,340000.000,340121.120,340126.120,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
17,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,340000.000,340000.000,340000.000,340000.000,340126.120,340247.240,340252.240,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
17,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,340000.000,340000.000,340252.240,340252.240,340252.240,340373.360,340378.360,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
17,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,340000.000,340000.000,340252.240,340252.240,340378.360,340499.480,340504.480,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
18,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,360000.000,360000.000,360000.000,360000.000,360000.000,360121.120,360126.120,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
18,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,360000.000,360000.000,360000.000,360000.000,360126.120,360247.240,360252.240,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
18,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,360000.000,360000.000,360252.240,360252.240,360252.240,360373.360,360378.360,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
18,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,360000.000,360000.000,360252.240,360252.240,360378.360,360499.480,360504.480,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
19,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,380000.000,380000.000,380000.000,380000.000,380000.000,380121.120,380126.120,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
19,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,380000.000,380000.000,380000.000,380000.000,380126.120,380247.240,380252.240,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
19,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,380000.000,380000.000,380252.240,380252.240,380252.240,380373.360,380378.360,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
19,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,380000.000,380000.000,380252.240,380252.240,380378.360,380499.480,380504.480,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
20,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,400000.000,400000.000,400000.000,400000.000,400000.000,400121.120,400126.120,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
20,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,400000.000,400000.000,400000.000,400000.000,400126.120,400247.240,400252.240,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
20,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,400000.000,400000.000,400252.240,400252.240,400252.240,400373.360,400378.360,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
20,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,400000.000,400000.000,400252.240,400252.240,400378.360,400499.480,400504.480,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
21,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,420000.000,420000.000,420000.000,420000.000,420000.000,420121.120,420126.120,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
21,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,420000.000,420000.000,420000.000,420000.000,420126.120,420247.240,420252.240,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
21,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,420000.000,420000.000,420252.240,420252.240,420252.240,420373.360,420378.360,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
